boards,value
000000000,0.5
000000001,0.5
000000002,0.5
000000010,0.5
000000012,0.8494681720941969
000000020,0.9826621610191125
000000021,0.48675976768308615
000000102,0.5
000000112,0.5
000000121,0.5
000000122,0.5
000000212,0.5
000001012,0.5
000001020,0.5
000001021,0.5
000001022,0.5
000001102,0.5
000001120,0.5
000001122,0.45165035996273706
000001200,0.5
000001201,0.5
000001202,0.9193165036261186
000001210,0.5
000001212,0.5
000001220,0.5
000001221,0.5
000002021,0.5
000002100,0.5
000002101,0.5
000002102,0.4905521338015239
000002110,0.5
000002112,0.7880041472
000002120,0.5
000002121,0.529148709384077
000002201,0.5
000002210,0.5
000002211,0.678602480650991
000010000,0.5
000010002,0.905853731888987
000010012,0.5
000010020,0.5
000010021,0.5
000010022,0.9824144475612089
000010102,0.5
000010122,0.41545728
000010202,0.6439999999999999
000010212,0.23409910151070923
000011020,0.5
000011022,0.27998403448048015
000011122,0.5
000011200,0.5
000011202,0.6218822747198791
000011212,0.5
000011220,0.3968
000011221,0.5
000012020,0.4
000012021,0.41559654399999996
000012100,0.5
000012102,0.4
000012112,0.5
000012120,0.4
000012121,0.5
000012122,0.9986230472617826
000012200,0.41600000000000004
000012201,0.4
000012210,0.27791198471383627
000012211,0.5
000012212,0.4992
000012221,0.4
000020000,0.5
000020001,0.9264795681415352
000020010,0.5
000020011,0.5
000020012,0.5
000020021,0.9711625904227222
000020101,0.5
000020102,0.5
000020112,0.9499557437304487
000020121,0.7871117642521127
000021010,0.5
000021012,0.9661707937166146
000021020,0.9999999913626165
000021021,0.48
000021100,0.5
000021102,0.4514874510208092
000021112,0.5
000021120,0.5
000021121,0.5
000021122,0.74442802176
000021200,0.58
000021201,0.4645007178404191
000021210,0.5
000021211,0.5
000021212,0.5
000021221,0.5
000022100,0.9855897943181471
000022101,0.4
000022110,0.48
000022112,0.5
000022121,0.74016
000022211,0.5
000101002,0.5
000101020,0.5
000101022,0.4941529088
000101122,0.5
000101202,0.5
000101212,0.5
000102000,0.5
000102001,0.5
000102002,0.9819352852888076
000102010,0.5
000102012,0.9998318208740609
000102020,0.4103889643849062
000102021,0.5
000102100,0.5
000102102,0.4
000102112,0.5
000102120,0.49251549184
000102121,0.5
000102122,0.5853789323264
000102200,0.5
000102201,0.42476450108763064
000102210,0.5
000102211,0.5
000102212,0.7761757434124696
000102221,0.5
000112000,0.5
000112002,0.9680065259530093
000112012,0.5
000112020,0.5533629694752299
000112021,0.5
000112022,0.8951424
000112102,0.5
000112120,0.5
000112122,0.32
000112200,0.29032535315456004
000112201,0.5
000112202,0.83616
000112210,0.5
000112212,0.09057614095737805
000112220,0.4351999999999999
000112221,0.07562628696030359
000121000,0.5
000121002,0.999862795288883
000121012,0.5
000121020,0.5
000121021,0.5
000121022,0.5
000121102,0.5
000121122,0.5
000121202,0.5
000121212,0.44096
000122000,0.5
000122001,0.4714831361816483
000122010,0.5
000122011,0.5
000122012,0.9999998338228522
000122021,0.7950917374684712
000122100,0.5
000122101,0.5
000122102,0.9945023960245359
000122110,0.5
000122112,0.5
000122120,0.4
000122121,0.37120000000000003
000122201,0.6401460034775094
000122210,0.5
000122211,0.416777216
000202001,0.5
000202010,0.5
000202011,0.48
000202101,0.4
000202112,0.83616
000202121,0.5
000212000,0.44160000000000005
000212001,0.4
000212010,0.46143488
000212011,0.5
000212012,0.37695999999999996
000212021,0.4
000212101,0.5
000212102,0.8316249088000001
000212112,0.27988882515558394
000212121,0.2049547425049107
001000102,0.5
001000120,0.5
001000122,0.5
001000200,0.49236091780609526
001000201,0.5
001000202,0.9134293813560637
001000210,0.5
001000212,0.4253555638714577
001000220,0.5
001000221,0.32
001001122,0.5
001001200,0.5
001001202,0.9999954708741707
001001212,0.5
001001220,0.4
001002120,0.5
001002121,0.5
001002122,0.47450244186112
001002200,0.5
001002201,0.6271936981379206
001002210,0.5
001002211,0.5
001002212,0.4
001002221,0.4702719999999999
001010200,0.5
001010202,0.7888742144496474
001010212,0.5
001010220,0.7222395513554263
001010221,0.5
001011202,0.5
001011220,0.5
001012200,0.42323588282267477
001012201,0.5
001012202,0.46361983659686856
001012210,0.5
001012212,0.12864386976710657
001012220,0.58
001012221,0.23199744
001020100,0.5
001020102,0.5
001020112,0.5
001020120,0.8711309098209431
001020121,0.5
001020122,0.5
001020200,0.5
001020201,0.320796497741651
001020210,0.4967397843921797
001020211,0.5
001020212,0.5
001020221,0.5
001021120,0.5
001021122,0.77521152
001021200,0.5
001021202,0.6799999999999999
001021210,0.5
001021212,0.5
001021220,0.5
001022120,0.5
001022121,0.5894975581388799
001022201,0.5
001022210,0.5
001022211,0.35921550687317977
001100002,0.5
001100020,0.5
001100022,0.5
001100122,0.5
001100202,0.9897439954939984
001100212,0.5
001100220,0.48977309482695675
001100221,0.5
001101022,0.5
001101202,0.5
001101220,0.5
001102002,0.5348278111295739
001102012,0.5
001102020,0.5
001102021,0.5
001102022,0.912343764242918
001102102,0.5
001102120,0.5
001102122,0.4
001102200,0.5
001102201,0.5
001102202,0.5
001102210,0.5
001102212,0.24234777671471544
001102220,0.8450687590399999
001102221,0.04596201821004042
001110022,0.5
001110202,0.5
001110220,0.5
001112002,0.5
001112020,0.5
001112022,0.8034376399910468
001112200,0.5
001112202,0.391795441664
001112212,0.5
001112220,0.5899018213721471
001112221,0.5
001120002,0.870971940674641
001120012,0.5
001120020,0.5
001120021,0.5
001120022,0.5
001120102,0.5
001120120,0.5
001120122,0.4
001120201,0.5
001120202,0.5
001120210,0.5
001120212,0.6107520908458415
001120220,0.5
001120221,0.09321603571805823
001121002,0.5
001121020,0.5
001121022,0.5
001121122,0.5
001121200,0.5
001121202,0.999619141527932
001121212,0.5
001121220,0.4
001122001,0.5
001122002,0.4881017873206398
001122010,0.5
001122012,0.418583717085184
001122020,0.5
001122021,0.6275352236030413
001122100,0.5
001122102,0.7241795963875569
001122112,0.5
001122120,0.4512
001122121,0.5
001122122,0.5
001122200,0.48
001122201,0.049983669523029434
001122210,0.2314060157018964
001122211,0.5
001122212,0.39424000000000003
001122221,0.46914248703999994
001200001,0.5
001200002,0.5
001200012,0.43628918598795263
001200020,0.5
001200021,0.4
001200102,0.5
001200112,0.5
001200120,0.5
001200121,0.5
001200122,0.5
001200201,0.3038281728
001200211,0.5
001200212,0.8165712348291007
001200221,0.4
001201002,0.59808
001201012,0.5
001201020,0.40704
001201022,0.5
001201102,0.5
001201120,0.5
001201122,0.4
001201200,0.48007136484209456
001201202,0.5
001201210,0.5
001201212,0.45964603026309114
001201220,0.9463129088000001
001202001,0.8435182783045606
001202010,0.9332400758408833
001202011,0.5
001202012,0.5
001202021,0.47178239999999994
001202100,0.5
001202101,0.5
001202102,0.5
001202110,0.5
001202112,0.4
001202120,0.46399999999999997
001202121,0.284852224
001202201,0.6639999999999999
001202210,0.5
001202211,0.9673060907849695
001210002,0.4
001210012,0.5
